ontologyShort,count
IOBC,45
NCIT,21
SNOMEDCT,20
FAST-TOPICAL,19
AURA,17
LOINC,15
SWEET,15
RH-MESH,14
ECSO,11
NIFSTD,11
ENVO,9
RCD,9
PREMEDONTO,8
BIOMODELS,7
MESH,7
SNMI,7
UPHENO,7
APOLLO-SV,6
GENEPIO,6
HUPSON,6
CL,5
GALEN,5
OBA,5
AGRO,4
CCON,4
GO-EXT,4
ONTONEO,4
RADLEX,4
UBERON,4
VIVO,4
WB-PHENOTYPE,4
APAONTO,3
CHEAR,3
CNO,3
CRISP,3
CSEO,3
ENM,3
FLOPO,3
FTC,3
GEO,3
HL7,3
IDOBRU,3
IDODEN,3
LIFO,3
MS,3
NIFDYS,3
NIGO,3
OBOE-SBC,3
OMP,3
ORTH,3
PATO,3
PHAGE,3
PLANA,3
RB,3
SDO,3
VDOT,3
VIVO-ISF,3
BAO,2
BIOMO,2
BOF,2
CMPO,2
EFO,2
EPO,2
ERO,2
EUPATH,2
FB-DV,2
FYPO,2
GAZ,2
GO,2
GO-PLUS,2
HAO,2
ICEO,2
IDOMAL,2
MEO,2
MFO,2
MI,2
NBO,2
NEMO,2
OMIM,2
PDO_CAS,2
PLOSTHES,2
SIBO,2
SIO,2
STATO,2
WC,2
ADALAB-META,1
ADAR,1
ADMO,1
ADW,1
AFO,1
AHSO,1
AO,1
APO,1
ATO,1
BCI-O,1
BCO,1
BFO,1
BHO,1
BIRNLEX,1
BMT,1
BT,1
CLO,1
CN,1
CNO_ACRONYM,1
COLL,1
CSTD,1
DIDEO,1
DIKB,1
DLORO,1
ECO,1
EDAM,1
EDDA,1
EGO,1
EHDA,1
EOL,1
EP,1
ESSO,1
FALL,1
FASTO,1
FB-BT,1
FISHO,1
FOODON,1
GENO,1
GEOSPECIES,1
GFO-BIO,1
GFVO,1
GRO,1
HANCESTRO,1
HORD,1
ICDO,1
ICNP,1
ICPC2P,1
IMGT-ONTOLOGY,1
IOBC ,1
IRDG,1
MCCV,1
MFMO,1
MFOEM,1
MFOMD,1
MIRNAO,1
MIRO,1
NPO,1
OBCS,1
OBI,1
OBI_BCGO,1
OCDM,1
OCRE,1
ODNAE,1
OGDI,1
OGI,1
OGMS,1
OHD,1
OHMI,1
OHPI,1
OLAM,1
ONL-MR-DA,1
ONLIRA,1
ONS,1
ONSTR,1
ONTOAD,1
ONTODT,1
ONTOMA,1
ONTOPARON,1
ONTOPARON_SOCIAL,1
ONTOPSYCHIA,1
OVAE,1
PCO,1
PEAO,1
PECO,1
PEDTERM,1
PMA,1
PORO,1
PPO,1
PR,1
PTS,1
RETO,1
RO,1
ROLEO,1
ROO,1
SBO,1
SCHEMA,1
SHR,1
SMASH,1
SO,1
SSE,1
SWO,1
SYN,1
TAO,1
TAXRANK,1
TRAK,1
VIO,1
VO,1
VSAO,1
VSO,1
VTO,1
suicideo,1
wikidata,1
