term,count
ecological,50
process,50
area,49
reproduction,46
growth,43
species,30
absent,27
defence/defense,24
ecosystem,21
range,18
resistant,17
impact,16
survival,16
continent,15
biodiversity,12
general,11
invasive,11
phenotypical plasticity,11
island,10
success,10
(closely) related,9
natural,9
exotic,8
likelihood,7
native,7
absence,5
disturbed,5
non-invasive,5
additional,4
specialist,3
enemy,2
invasion,2
ecological impact,1
exotic range,1
generalist,1
non-native,1
propagule pressure,1
undisturbed,1
competitive,0
